naziv-artikla;redovna-cena;akcijska-cena;popust;url;datum-akcije
PRIPREMI UKUSAN OBROK; 20.10.-26.10.2022.
Jogurt Balans+ probiotic, 1kg;184.99;159.99;13%;https://maxi.sales-snap.com/asset/987:jogurtbalansprobiotic1kg-removebg-previewpng
Tomatino Moć Prirode, 0.5l;86.99;69.00;20%;https://maxi.sales-snap.com/asset/988:tomatinomocprirode05l-removebg-previewpng
Jetrena pašteta Carnex, 50g;70.99;59.00;16%;https://maxi.sales-snap.com/asset/989:jetrenapastetacarnex50g-removebg-previewpng
Smrznuti spanać u briketima Frikom, 400g;192.99;154.99;16%;https://maxi.sales-snap.com/asset/990:smrznutispanacubriketimafrikom400g-removebg-previewpng
