naziv-artikla;redovna-cena;akcijska-cena;popust;url;datum-akcije
GRICNI I OSVEŽI SE; 20.10.-26.10.2022.
Kafa mlevena C, 200g;287.99;239.00;17%;https://maxi.sales-snap.com/asset/991:kafamlevenac200g-removebg-previewpng
Pivo svetlo Heineken, 0.5l;115.99;89.00;23%;https://maxi.sales-snap.com/asset/992:pivosvetloheineken05l-removebg-previewpng
Štark bananica, 25g;20.99;16.00;23%;https://maxi.sales-snap.com/asset/993:starkbananica25g-removebg-previewpng
Sok borovnica Nectar Life, 1l;211.99;169.00;16%;https://maxi.sales-snap.com/asset/994:sokborovnicanectarlife1l-removebg-previewpng
